Date,Open,High,Low,Close,Adj Close,Volume
19-Nov-20,3561.75,3582.5,3542,3580,3580,891717
18-Nov-20,3603.75,3623.25,3556,3565,3565,974851
17-Nov-20,3626,3630,3584,3606.75,3606.75,923520
16-Nov-20,3586.75,3636.75,3586,3623,3623,853041
13-Nov-20,3538,3590,3518.25,3582,3582,827963
12-Nov-20,3574.5,3575,3513,3532.5,3532.5,1209448
11-Nov-20,3546.5,3576.75,3530.75,3568,3568,978070
10-Nov-20,3549.25,3562.75,3506.25,3541,3541,1651819
9-Nov-20,3522.5,3668.75,3515.75,3544,3544,1805691
6-Nov-20,3509,3519,3456.5,3500.75,3500.75,1103710
5-Nov-20,3447.75,3522.5,3428,3504.75,3504.75,1113831
4-Nov-20,3362.5,3480,3319.25,3435,3435,1504508
3-Nov-20,3304.25,3382.75,3301.25,3361.5,3361.5,1055224
2-Nov-20,3262.25,3323.5,3243.25,3300.5,3300.5,1313229
30-Oct-20,3268.25,3296.25,3225,3264.75,3264.75,1733336
29-Oct-20,3278.75,3333.75,3250.25,3302.25,3302.25,1357129
28-Oct-20,3368.75,3370.75,3260.75,3263.5,3263.5,1529943
27-Oct-20,3394.5,3410.25,3368,3383,3383,940467
26-Oct-20,3446,3447,3356,3393.5,3393.5,1270433
23-Oct-20,3455.75,3463.5,3431.75,3451.75,3451.75,773247
22-Oct-20,3430.5,3453,3402.25,3449.25,3449.25,856913
21-Oct-20,3435.25,3457.75,3420.75,3432.5,3432.5,1034105
20-Oct-20,3435.75,3469.75,3418,3432.25,3432.25,1078100
19-Oct-20,3470.75,3496.5,3410.75,3422.75,3422.75,1027486
16-Oct-20,3478.5,3508.5,3461.25,3462.25,3462.25,719766
15-Oct-20,3479.5,3486.75,3431.5,3475.5,3475.5,897971
14-Oct-20,3502.25,3524,3472.25,3481,3481,901013
13-Oct-20,3533.75,3536,3491.25,3504.75,3504.75,894785
12-Oct-20,3470.25,3541.25,3464,3532.75,3532.75,726172
9-Oct-20,3447,3480,3445.5,3473.25,3473.25,571111
8-Oct-20,3407.25,3447.75,3404,3437.5,3437.5,638300
7-Oct-20,3338,3416.5,3331.75,3406.75,3406.75,895709
6-Oct-20,3392.25,3421.75,3330.75,3353.25,3353.25,1150090
5-Oct-20,3358,3400,3346.5,3393,3393,641071
2-Oct-20,3366.75,3374.75,3300.25,3339.25,3339.25,1259792
1-Oct-20,3344.75,3387.75,3343.75,3367.75,3367.75,937681
30-Sep-20,3330,3384,3291.25,3352,3352,1140694
29-Sep-20,3348.5,3363,3316.5,3333.75,3333.75,729692
28-Sep-20,3291.25,3351.25,3288,3346,3346,809590
25-Sep-20,3243.5,3296.5,3206.25,3287.25,3287.25,1030582
24-Sep-20,3227.75,3268.25,3198,3238,3238,1288513
23-Sep-20,3304,3319.75,3220.75,3231.25,3231.25,1165489
22-Sep-20,3271,3309.5,3256.25,3299.25,3299.25,946638
21-Sep-20,3314.75,3326.5,3217.75,3275,3275,1256851
18-Sep-20,3356.25,3374,3341,3353.6,3353.6,1072178
17-Sep-20,3392.75,3397.75,3320.5,3361.5,3361.5,106003
16-Sep-20,3406.25,3429.75,3384,3389.5,3389.5,96782
15-Sep-20,3378.75,3419.25,3376.5,3405.25,3405.25,77209
14-Sep-20,3350,3402.75,3344.5,3382.5,3382.5,132567
11-Sep-20,3345.5,3376.25,3308.75,3333.75,3333.75,451061
10-Sep-20,3395.75,3424.25,3327.25,3340.5,3340.5,1337442
9-Sep-20,3320,3424,3295.5,3400.25,3400.25,1014612
8-Sep-20,3420.5,3447.25,3327.5,3335.5,3335.5,2026634
4-Sep-20,3455,3484.25,3347.75,3417.5,3417.5,1783626
3-Sep-20,3578.5,3586.5,3424.75,3461.5,3461.5,1908869
2-Sep-20,3529,3587,3526.25,3579.25,3579.25,924937
1-Sep-20,3493.75,3530,3484.25,3527,3527,701143
31-Aug-20,3508.5,3524.5,3490,3499,3499,680344
28-Aug-20,3487.75,3509.25,3480.75,3504.5,3504.5,713068
27-Aug-20,3479.5,3498.25,3464.75,3485.25,3485.25,1031257
26-Aug-20,3444.5,3483.5,3436.75,3480.25,3480.25,637492
25-Aug-20,3427,3448.75,3421.75,3443,3443,731804
24-Aug-20,3398,3429.25,3394,3427.5,3427.5,691359
21-Aug-20,3383.5,3396.25,3356.5,3392.5,3392.5,723095
20-Aug-20,3370,3387,3344.5,3380.75,3380.75,743300
19-Aug-20,3388.5,3395.5,3365.5,3372.75,3372.75,720650
18-Aug-20,3379.25,3390.5,3365.25,3387,3387,601229
17-Aug-20,3365.75,3383,3365,3379.75,3379.75,408070
14-Aug-20,3368.75,3380.25,3349.75,3361.5,3361.5,665298
13-Aug-20,3367.75,3382,3357.5,3367.75,3367.75,714190
12-Aug-20,3339.5,3382.25,3326.25,3370,3370,866719
11-Aug-20,3350.5,3379,3319.75,3330,3330,974384
10-Aug-20,3347.25,3357.25,3329,3352.75,3352.75,661329
7-Aug-20,3343.5,3347.75,3322.5,3344.75,3344.75,909596
6-Aug-20,3317.25,3346,3300.5,3344.25,3344.25,741215
5-Aug-20,3300.5,3323.5,3292.25,3316,3316,542479
4-Aug-20,3290.5,3301.5,3271,3300,3300,599455
3-Aug-20,3270.75,3295.5,3254.5,3288.5,3288.5,549146
31-Jul-20,3269.25,3273.75,3212.5,3263.5,3263.5,1170078
30-Jul-20,3256.75,3269.25,3195,3248.75,3248.75,1026724
29-Jul-20,3214.75,3257,3204.25,3252.5,3252.5,659438
28-Jul-20,3234.75,3246.5,3208,3213,3213,811743
27-Jul-20,3210.5,3235,3192,3232.25,3232.25,761517
24-Jul-20,3229.75,3239,3191.75,3204,3204,1041284
23-Jul-20,3267.5,3284.5,3214.25,3227.5,3227.5,1187809
22-Jul-20,3249.25,3271.5,3227.25,3265.5,3265.5,870907
21-Jul-20,3243.75,3273,3239.25,3251.25,3251.25,965242
20-Jul-20,3214.25,3251.5,3190.25,3245.25,3245.25,771885
17-Jul-20,3198.25,3225.25,3194.75,3214,3214,804718
16-Jul-20,3223.25,3228.5,3188.5,3194.5,3194.5,1073827
15-Jul-20,3203,3233,3192,3219.5,3219.5,1419635
14-Jul-20,3150,3192,3119,3183.5,3183.5,1635280
13-Jul-20,3182,3226.25,3140.5,3148.25,3148.25,1318497
10-Jul-20,3142,3182,3111.5,3178.5,3178.5,1116626
9-Jul-20,3166,3170.75,3105.25,3141,3141,1277175
8-Jul-20,3135.25,3166.25,3125.5,3163.5,3163.5,1139690
7-Jul-20,3169.75,3184,3132.5,3136.5,3136.5,882615
