Date,Close/Last,Volume,Open,High,Low
05/29/2020,3042.00,2204524,3036.00,3058.25,2992.00
05/28/2020,3038.00,1856990,3035.00,3065.50,3019.50
05/27/2020,3035.50,2059989,2994.00,3039.50,2965.50
05/26/2020,2994.50,1747488,2989.50,3019.75,2947.50
05/22/2020,2953.00,1342513,2936.75,2957.50,2903.75
05/21/2020,2937.00,1582193,2972.25,2973.50,2933.00
05/20/2020,2968.50,1496717,2913.50,2975.75,2908.50
05/19/2020,2918.75,1533354,2945.00,2976.25,2914.25
05/18/2020,2948.00,1722804,2859.75,2964.75,2850.00
05/15/2020,2846.50,1841770,2846.25,2863.50,2809.50
05/14/2020,2847.00,2454797,2820.25,2853.75,2760.25
05/13/2020,2813.00,2521767,2839.75,2876.75,2786.00
05/12/2020,2852.50,1785787,2919.25,2939.25,2838.00
05/11/2020,2922.75,1491188,2920.75,2947.00,2889.75
05/08/2020,2928.40,1275467,2882.00,2933.00,2879.75
05/07/2020,2880.00,1466728,2832.00,2895.00,2823.00
05/06/2020,2833.50,1431340,2857.75,2886.25,2832.00
05/05/2020,2858.25,1449790,2827.00,2889.75,2824.50
05/04/2020,2825.25,1469784,2789.00,2835.75,2771.00
05/01/2020,2821.75,1587491,2871.50,2879.75,2811.75
04/30/2020,2902.50,1939076,2956.50,2965.00,2878.00
04/29/2020,2941.00,1681741,2870.50,2959.75,2860.75
04/28/2020,2867.25,1591194,2867.75,2913.50,2851.00
04/27/2020,2869.00,1186600,2829.00,2881.25,2812.75
04/24/2020,2829.50,1255957,2777.00,2835.00,2755.25
04/23/2020,2780.75,1683894,2790.50,2836.75,2772.75
04/22/2020,2788.50,1338142,2737.25,2808.00,2717.25
04/21/2020,2732.00,1924605,2807.00,2833.25,2717.25
04/20/2020,2806.50,1522197,2861.50,2875.50,2804.25
04/17/2020,2870.00,1832788,2863.00,2885.00,2821.00
04/16/2020,2787.50,1709246,2767.75,2831.50,2746.00
04/15/2020,2775.00,1777489,2843.75,2845.50,2751.25
04/14/2020,2843.00,1643171,2760.00,2846.00,2752.50
04/13/2020,2759.25,1535205,2811.00,2819.50,2711.00
04/09/2020,2779.75,2295056,2737.75,2809.50,2701.00
04/08/2020,2735.00,1864489,2640.50,2752.50,2620.75
04/07/2020,2642.00,2437762,2645.50,2750.00,2623.50
04/06/2020,2644.50,1936026,2485.00,2668.50,2484.75
04/03/2020,2482.75,1703883,2513.75,2529.50,2449.00
04/02/2020,2516.50,2084121,2459.00,2525.00,2424.75
04/01/2020,2448.00,1987930,2562.00,2562.25,2434.25
03/31/2020,2569.75,2134111,2613.25,2635.75,2555.75
03/30/2020,2611.25,1775000,2459.00,2621.75,2445.00
03/27/2020,2524.10,2155067,2627.75,2634.50,2505.25
03/26/2020,2608.00,2333319,2471.00,2625.75,2402.25
03/25/2020,2467.00,2928987,2442.75,2560.75,2386.00
03/24/2020,2438.00,2508033,2233.25,2447.75,2230.50
03/23/2020,2220.50,2989541,2220.25,2386.00,2174.00
03/20/2020,2288.50,2921764,2351.00,2499.00,2260.00
03/19/2020,2389.00,3066260,2402.50,2460.00,2275.00
03/18/2020,2414.00,907729,2478.50,2498.00,2274.75
03/17/2020,2495.50,1636050,2417.25,2554.50,2365.00
03/16/2020,2416.25,2266107,2673.75,2675.00,2360.25
03/13/2020,2695.90,3295273,2429.50,2707.75,2393.50
03/12/2020,2469.00,4258128,2738.00,2774.00,2442.50
03/11/2020,2740.25,2844605,2859.50,2869.50,2702.75
03/10/2020,2865.75,3294171,2733.00,2884.75,2695.25
03/09/2020,2747.75,2522613,2916.00,2916.00,2715.00
03/06/2020,2964.00,3010973,3024.25,3037.00,2898.00
03/05/2020,3015.50,2662857,3089.00,3103.50,2996.50
03/04/2020,3114.75,2473431,2988.25,3129.50,2976.50
03/03/2020,2997.00,3635857,3077.00,3137.00,2973.00
03/02/2020,3065.00,3553236,2900.00,3093.25,2889.25
02/28/2020,2951.10,5499126,2950.00,2996.00,2853.25
02/27/2020,2957.00,4635720,3043.75,3096.25,2944.50
02/26/2020,3110.25,3808610,3109.75,3115.00,3098.00
02/25/2020,3132.50,4254278,3153.50,3157.00,3117.25
02/24/2020,3226.25,3513751,3227.25,3253.25,3213.75
02/21/2020,3339.30,2232061,3367.00,3369.25,3328.00
02/20/2020,3369.25,2047116,3391.75,3397.50,3339.25
02/19/2020,3387.25,1115664,3372.00,3393.75,3370.75
02/18/2020,3369.25,1689328,3378.25,3392.50,3355.25
02/14/2020,3380.90,1280590,3379.50,3388.50,3365.25
02/13/2020,3377.50,1738296,3381.25,3384.75,3348.50
02/12/2020,3380.50,1191736,3360.50,3381.50,3355.50
02/11/2020,3357.50,1452567,3351.00,3374.50,3349.25
02/10/2020,3353.00,1347160,3322.25,3353.50,3303.50
02/07/2020,3325.50,1639289,3349.00,3350.00,3320.75
02/06/2020,3345.25,1433746,3337.00,3357.75,3332.50
02/05/2020,3335.00,1996035,3300.25,3338.00,3288.25
02/04/2020,3299.50,1653285,3244.25,3305.25,3236.00
02/03/2020,3245.50,1872747,3222.75,3267.25,3222.00
01/31/2020,3224.00,3058044,3292.00,3297.50,3212.75
01/30/2020,3289.75,2376254,3271.50,3295.25,3239.75
01/29/2020,3272.50,1623469,3281.75,3292.75,3265.25
01/28/2020,3278.25,1839918,3239.50,3285.00,3238.75
01/27/2020,3239.50,2513858,3269.75,3269.75,3233.00
01/24/2020,3293.50,2434497,3285.50,3299.75,3280.50
01/23/2020,3326.00,1665164,3317.25,3327.00,3301.25
01/22/2020,3319.75,1462859,3321.25,3337.50,3315.25
01/21/2020,3319.50,1488232,3325.50,3329.75,3307.25
